"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
142,29.9015755,70.35898625,0,0,0,14,0,0,0,0,14
143,6.11065457142857,61.4420138571429,1,2,24,0,0,7,148,10,192
144,16.93245325,68.549908375,0,0,0,0,0,0,14,0,14
145,19.1753825,68.9835801666667,1,0,1,0,0,22,1,1,26
146,9.751645,59.1060115,1,3,10,0,0,8,0,2,24
147,14.513526,66.6658455,0,7,19,0,0,5,2,5,38
148,17.55668425,68.98949125,0,1,0,0,0,2,0,0,3
149,29.065419,70.7061425,0,0,0,0,0,0,0,0,0
150,12.083189875,65.026225875,1,0,1,0,0,2,0,1,5
151,16.4430341666667,68.8409783333333,0,1,1,0,0,10,1,3,16
152,6.32359827272727,58.7423489090909,12,3,60,3,0,117,20,13,228
153,13.7098238333333,67.1524376666667,0,12,60,0,0,40,11,8,131
154,5.6686701,58.7846665,6,21,194,0,0,178,75,23,497
155,7.31649,59.298271,0,0,0,0,0,0,1,0,1
156,9.70977875,62.39279575,0,0,3,2,0,3,0,0,8
157,5.23589225,62.03245925,0,0,2,0,0,0,0,0,2
158,11.9045595,61.974533,0,0,0,0,0,0,0,0,0
159,6.01170314285714,60.2320157857143,0,16,9,0,0,3,3,0,31
160,9.492466,60.2160869166667,0,0,4,0,0,4,0,0,8
161,6.7305145,58.1213525,0,0,7,0,0,2,2,0,11
162,15.6852078333333,67.2118155,0,1,0,0,0,9,2,0,12
163,12.9610503333333,67.8893833333333,0,0,5,0,0,4,2,1,12
164,11.3503723333333,64.5003548333333,0,0,0,0,0,3,0,0,3
165,10.883126,64.864978,0,0,0,0,0,0,0,0,0
166,8.6837998,59.6684197,0,0,10,0,0,4,1,0,15
167,11.390126,65.153664,0,0,0,0,0,0,0,0,0
168,8.8933055,63.9260945,0,0,0,0,0,0,0,0,0
169,11.085525875,63.432017625,0,4,37,0,0,58,9,5,113
170,10.424807375,63.184291375,18,54,346,0,1,459,50,59,987
171,8.17989383333333,59.2197721666667,0,0,0,0,0,0,0,0,0
172,28.0535205,70.7719175,0,0,1,0,0,1,3,0,5
173,9.632684375,61.5588875,0,0,4,0,0,0,0,0,4
174,13.151603875,65.900091875,0,0,2,0,0,5,4,2,13
175,6.58664216666667,60.995027,0,0,4,0,1,11,14,1,31
176,12.5915505,64.362894,39,42,144,0,33,353,117,0,728
177,15.7944275,67.9007575,0,0,1,0,0,6,0,1,8
178,23.4540525,70.71506,0,1,6,0,0,0,3,0,10
179,21.9923026666667,70.2186406666667,0,1,2,20,0,0,1,0,24
180,14.04672075,65.7554465,0,0,0,0,0,1,0,0,1
181,8.9704325,62.970402875,2,3,53,0,0,2,0,2,62
182,11.50597225,62.704513875,1,1,2,0,0,0,1,0,5
183,6.716531,61.90948775,0,0,5,0,0,1,0,1,7
184,10.269373,60.30478875,0,0,8,0,0,2,2,0,12
185,20.78313725,69.7619775,0,0,0,9,0,0,0,0,9
186,25.2245295,69.3919555,0,0,1,62,0,3,1,1,68
187,19.4372165,70.0712295,0,0,0,0,0,1,0,0,1
188,23.6932005,69.133799,0,0,0,87,0,0,0,1,88
189,21.4587395,69.5253265,0,0,0,48,0,1,0,0,49
190,24.122824,70.4216605,0,0,0,0,0,1,0,0,1
191,26.8279485,70.557405,0,0,1,0,0,0,0,0,1
192,7.112826,61.254018,0,9,54,0,0,6,0,1,70
193,12.8436005,66.5719405,0,0,1,0,0,4,0,0,5
194,18.091231,69.24669875,0,0,0,0,0,4,0,0,4
195,8.68496083333333,61.8689828333333,1,0,31,0,0,1,1,1,35
196,13.64794775,64.6183455,0,0,1,0,0,1,0,0,2
197,12.165733,66.5034405,0,0,0,0,0,0,0,0,0
198,20.24822425,69.48675325,0,0,0,1,0,0,2,0,3
199,24.5565965,70.8911325,0,0,0,0,0,0,0,0,0
200,11.8680685,63.7620011666667,0,0,11,0,0,7,1,3,22
201,5.930594,60.880009,0,0,0,0,0,0,0,0,0
202,13.072472,64.8102355,0,0,0,0,0,0,0,0,0
203,17.6043605,68.2881045,0,1,8,0,0,39,3,7,58
204,28.8300235,70.1276895,0,0,0,9,0,0,0,0,9
205,7.9495575,62.51923925,0,0,5,0,0,2,0,0,7
206,7.424698,62.251269,0,0,0,0,0,0,0,0,0
207,25.866121,70.9266075,0,0,5,0,0,2,13,0,20
208,6.61090283333333,59.7305848333333,0,21,28,5,0,49,3,1,107
209,11.915479,64.4805795,1,1,9,0,0,0,0,1,12
210,25.0311745,70.2429465,0,0,1,24,0,0,0,0,25
211,12.2054395,67.502487,0,0,0,0,0,0,0,0,0
212,10.9298395,61.694063,0,0,0,0,0,0,0,0,0
213,29.727145,69.504585,0,2,2,48,0,16,2,2,72
214,7.966991,61.9342395,0,0,0,0,0,0,0,0,0
215,15.113155,67.8596805,0,0,0,0,0,2,0,0,2
216,27.5006895,70.2834565,0,0,1,17,0,0,0,1,19
217,16.949149,69.30834,0,0,0,0,0,1,0,0,1
218,18.9258115,69.7104015,2,7,88,0,0,103,91,11,302
219,12.303966,61.3563735,1,0,2,0,0,1,0,0,4
220,16.5041435,67.9698075,0,0,0,0,0,1,0,0,1
221,8.447449,61.1926085,0,0,0,0,0,0,0,0,0
222,30.6460575,70.326849,0,0,0,0,0,0,0,0,0
223,11.732621,65.743596,0,0,0,0,0,0,0,0,0
224,13.756594,68.198278,0,0,0,0,0,2,5,2,9
225,7.7103635,59.807207,0,0,0,0,0,0,0,0,0
226,25.679592,62.3986639444444,2,0,0,467,1,131,66,39,706
227,23.90383,62.7103398636364,0,0,0,64,0,4,0,1,69
228,22.4821787931034,60.7195604655172,16,2,0,815,0,275,94,73,1275
229,23.5749726176471,61.1107322647059,2,0,1,276,0,49,17,8,353
230,23.92609375,63.760357125,0,0,0,93,0,15,2,2,112
231,25.3952402962963,60.5963623333333,17,1,2,1179,10,769,291,112,2381
232,25.74995525,61.4562518333333,0,0,0,47,0,8,5,3,63
233,24.6176643333333,60.3876739761905,105,4,5,5716,18,2696,1007,399,9950
234,21.7576638333333,62.2407312,7,0,0,76,2,5,2,4,96
235,24.3487041,66.3236306,1,0,0,45,0,0,1,1,48
236,21.8581064333333,61.3607477666667,1,0,0,181,0,54,380,25,641
237,21.0149065,60.5448659285714,2,0,0,26,0,4,1,1,34
238,24.985508125,64.674876375,0,0,0,43,0,3,1,1,48
239,19.9940188636364,60.1989781818182,102,0,1,1,0,8,5,4,121
240,27.0890691666667,69.2489131666667,0,0,0,196,0,14,12,0,222
241,29.0975801111111,62.2210886111111,1,0,0,75,0,17,2,2,97
242,22.7871955,68.7140905,0,0,0,88,0,1,0,0,89
243,23.2075131666667,63.3198613888889,5,0,0,55,0,3,3,5,71
244,27.40350905,60.8262503,0,1,0,239,0,45,31,10,326
245,22.906551,61.7930490454545,0,0,0,79,0,3,5,1,88
246,24.4838155714286,61.4183455,2,0,0,160,0,46,21,15,244
247,24.9450123125,63.77387375,0,0,0,68,0,189,2,1,260
248,24.80498,62.9210649166667,0,0,0,38,0,1,0,1,40
249,23.2110149,59.9841673,9,0,1,122,1,144,68,37,382
250,26.5639444166667,62.5992523333333,0,0,0,50,0,1,4,0,55
251,26.57292675,61.378088375,0,0,0,54,0,9,1,2,66
252,26.1908735,61.825537,0,0,0,10,0,0,1,1,12
253,25.6698568,65.0615571,2,1,0,407,0,78,81,32,601
254,27.47228725,61.67380625,0,0,0,115,0,66,4,8,193
255,22.3652365,61.8488805,0,0,0,13,0,2,0,0,15
256,28.540826,64.3925386666667,0,0,0,43,0,1,1,1,46
257,27.6247205625,63.3066689375,0,1,0,227,0,59,26,8,321
258,22.3736962333333,63.0274878,1,0,0,97,0,7,9,7,121
259,30.973905,62.7902115,0,0,0,37,0,1,1,0,39
260,28.9445663333333,61.30714,0,0,0,17,0,0,0,0,17
261,23.9365490833333,60.2478908333333,0,1,0,56,0,34,4,6,101
262,25.110007,61.7697805,0,0,0,37,0,4,0,3,44
263,22.6568345,63.74610725,4,1,0,19,0,1,1,0,26
264,30.0640803333333,62.7601628333333,1,1,0,170,0,55,25,13,265
265,28.066699875,62.253877875,0,0,0,34,0,3,6,1,44
266,28.4906765,63.0792555,0,0,0,37,0,1,2,0,40
267,29.239657,63.2391993333333,0,0,0,87,0,2,2,0,91
268,24.3827615,62.155138125,0,0,0,31,0,4,2,0,37
269,23.7356986666667,61.7015198333333,6,1,2,725,0,272,109,60,1175
270,25.7792861666667,63.685207,0,0,0,32,0,9,2,1,44
271,20.974279,59.8999925,0,0,0,8,0,0,0,0,8
272,27.650863,64.3893035,0,0,1,58,0,12,2,5,78
273,27.1779376666667,62.5906931666667,0,0,0,40,0,1,2,0,43
274,21.31798925,62.9482220625,11,0,1,89,0,49,16,4,170
275,26.5115505,63.3984755,0,0,0,27,0,0,1,0,28
276,24.64024425,65.745086,0,0,0,24,0,1,1,11,37
277,22.454542,59.9824385,2,0,0,14,0,0,0,0,16
278,27.38374175,66.910907,0,0,0,39,0,0,2,2,43
279,29.8004771,61.9685923,0,0,0,23,0,0,1,0,24
280,25.050163,67.773235,0,0,0,77,0,1,1,1,80
281,24.205622,67.2883735,0,0,0,28,0,0,0,0,28
282,23.107958,60.6728235,0,0,0,4,0,0,0,0,4
283,29.6526805,64.1693755,0,0,0,51,0,0,2,0,53
284,29.253115,65.9869665,1,0,0,55,0,4,4,0,64
285,26.3264546363636,60.4559492272727,3,0,0,35,0,1,3,0,42
286,28.1609321,61.0977636,0,0,0,123,0,40,50,7,220
287,30.3540125,63.378857,0,0,0,37,0,3,1,1,42
288,21.7647645,60.4240461666667,0,0,0,36,0,6,2,1,45
289,24.43124775,64.3521645,0,0,0,6,0,0,0,0,6
290,26.10100225,64.52114025,0,0,0,34,0,0,1,1,36
291,23.792408,67.8167555,0,0,0,23,0,1,0,0,24
292,28.0015955,66.1465275,0,0,0,47,0,1,0,0,48
293,27.1588065,65.523535,0,0,0,55,0,1,0,0,56
294,26.731248,63.9332935,0,0,0,23,0,1,0,0,24
295,21.41791,60.9901785,0,0,0,2,0,0,0,0,2
296,26.5882145,66.0014765,0,0,0,38,0,0,2,0,40
297,26.0311075,66.669948,0,0,0,175,0,21,10,8,214
298,28.949175,67.1056285,0,0,0,56,0,0,1,0,57
299,28.440533,67.6489615,0,0,0,42,0,1,1,0,44
300,25.2419285,65.942678,0,0,0,31,0,8,0,0,39
301,27.014109,67.7046295,0,0,0,107,0,13,10,1,131
302,28.522907,61.7362745,0,0,0,4,0,0,0,0,4
303,29.065463,65.0436585,0,0,0,46,0,0,2,0,48
304,28.465884,65.5483855,0,0,0,30,0,0,1,0,31
305,30.3693335,62.238447,0,0,0,18,0,1,2,1,22
306,26.808741,64.6912375,0,0,0,46,0,1,1,7,55
307,28.7819915,63.720269,0,0,0,6,0,0,0,0,6
308,25.8218805,63.07912,0,0,0,17,0,0,0,1,18
309,-19.00682,64.893057,6,24,8,13,1257,1805,425,262,3800
