"lang","date","count"
"Norwegian","2018-w02",122
"Norwegian","2018-w03",217
"Norwegian","2018-w04",147
"Norwegian","2018-w05",99
"Norwegian","2018-w06",128
"Norwegian","2018-w07",186
"Norwegian","2018-w08",97
"Norwegian","2018-w09",21
"Finnish","2016-w44",0
"Finnish","2016-w45",0
"Finnish","2016-w46",0
"Finnish","2016-w47",0
"Finnish","2016-w48",2
"Finnish","2016-w49",2
"Finnish","2016-w50",3
"Finnish","2016-w51",0
"Finnish","2016-w52",0
"Finnish","2017-w01",0
"Finnish","2017-w02",0
"Finnish","2017-w03",1
"Finnish","2017-w04",7
"Finnish","2017-w05",2
"Finnish","2017-w06",1
"Finnish","2017-w07",0
"Finnish","2017-w08",0
"Finnish","2017-w09",0
"Finnish","2017-w10",1
"Finnish","2017-w11",10
"Finnish","2017-w12",1
"Finnish","2017-w13",0
"Finnish","2017-w14",0
"Finnish","2017-w15",2
"Finnish","2017-w16",1
"Finnish","2017-w17",1
"Finnish","2017-w18",2
"Finnish","2017-w19",2
"Finnish","2017-w20",2
"Finnish","2017-w21",2
"Finnish","2017-w22",2
"Finnish","2017-w23",2
"Finnish","2017-w24",11
"Finnish","2017-w25",3
"Finnish","2017-w26",1
"Finnish","2017-w27",1
"Finnish","2017-w28",4
"Finnish","2017-w29",0
"Finnish","2017-w30",2
"Finnish","2017-w31",3
"Finnish","2017-w32",1
"Finnish","2017-w33",1
"Finnish","2017-w34",0
"Finnish","2017-w35",1
"Finnish","2017-w36",3
"Finnish","2017-w37",8
"Finnish","2017-w38",0
"Finnish","2017-w39",2
"Finnish","2017-w40",0
"Finnish","2017-w41",0
"Finnish","2017-w42",0
"Finnish","2017-w43",0
"Finnish","2017-w45",1
"Finnish","2017-w46",4
"Finnish","2017-w47",2
"Finnish","2017-w48",0
"Finnish","2017-w49",2
"Finnish","2017-w50",0
"Finnish","2017-w51",1
"Finnish","2017-w52",2
"Finnish","2018-w01",0
"Finnish","2018-w02",3
"Finnish","2018-w03",5
"Finnish","2018-w04",7
"Finnish","2018-w05",0
"Finnish","2018-w06",3
"Finnish","2018-w07",4
"Finnish","2018-w08",2
"Finnish","2018-w09",0
"Icelandic","2016-w44",0
"Icelandic","2016-w45",3
"Icelandic","2016-w46",0
"Icelandic","2016-w47",1
"Icelandic","2016-w48",0
"Icelandic","2016-w49",0
"Icelandic","2016-w50",0
"Icelandic","2016-w51",1
"Icelandic","2016-w52",0
"Icelandic","2017-w01",0
"Icelandic","2017-w02",1
"Icelandic","2017-w03",0
"Icelandic","2017-w04",0
"Icelandic","2017-w05",0
"Icelandic","2017-w06",0
"Icelandic","2017-w07",0
"Icelandic","2017-w08",0
"Icelandic","2017-w09",0
"Icelandic","2017-w10",0
"Icelandic","2017-w11",1
"Icelandic","2017-w12",0
"Icelandic","2017-w13",0
"Icelandic","2017-w14",1
"Icelandic","2017-w15",1
"Icelandic","2017-w16",1
"Icelandic","2017-w17",1
"Icelandic","2017-w18",0
"Icelandic","2017-w19",1
"Icelandic","2017-w20",0
"Icelandic","2017-w21",0
"Icelandic","2017-w22",1
"Icelandic","2017-w23",0
"Icelandic","2017-w24",1
"Icelandic","2017-w25",0
"Icelandic","2017-w26",0
"Icelandic","2017-w27",0
"Icelandic","2017-w28",0
"Icelandic","2017-w29",0
"Icelandic","2017-w30",0
"Icelandic","2017-w31",1
"Icelandic","2017-w32",0
"Icelandic","2017-w33",0
"Icelandic","2017-w34",0
"Icelandic","2017-w35",2
"Icelandic","2017-w36",0
"Icelandic","2017-w37",1
"Icelandic","2017-w38",0
"Icelandic","2017-w39",0
"Icelandic","2017-w40",1
"Icelandic","2017-w41",3
"Icelandic","2017-w42",0
"Icelandic","2017-w43",0
"Icelandic","2017-w45",0
"Icelandic","2017-w46",0
"Icelandic","2017-w47",0
"Icelandic","2017-w48",0
"Icelandic","2017-w49",1
"Icelandic","2017-w50",1
"Icelandic","2017-w51",1
"Icelandic","2017-w52",0
"Icelandic","2018-w01",0
"Icelandic","2018-w02",1
"Icelandic","2018-w03",0
"Icelandic","2018-w04",0
"Icelandic","2018-w05",0
"Icelandic","2018-w06",1
"Icelandic","2018-w07",0
"Icelandic","2018-w08",0
"Icelandic","2018-w09",0
"English","2016-w44",38
"English","2016-w45",265
"English","2016-w46",242
"English","2016-w47",273
"English","2016-w48",251
"English","2016-w49",244
"English","2016-w50",192
"English","2016-w51",84
"English","2016-w52",155
"English","2017-w01",293
"English","2017-w02",198
"English","2017-w03",263
"English","2017-w04",530
"English","2017-w05",253
"English","2017-w06",258
"English","2017-w07",254
"English","2017-w08",222
"English","2017-w09",165
"English","2017-w10",63
"English","2017-w11",164
"English","2017-w12",169
"English","2017-w13",186
"English","2017-w14",85
"English","2017-w15",143
"English","2017-w16",138
"English","2017-w17",123
"English","2017-w18",156
"English","2017-w19",148
"English","2017-w20",123
"English","2017-w21",166
"English","2017-w22",201
"English","2017-w23",193
"English","2017-w24",271
"English","2017-w25",132
"English","2017-w26",151
"English","2017-w27",134
"English","2017-w28",149
"English","2017-w29",157
"English","2017-w30",212
"English","2017-w31",318
"English","2017-w32",438
"English","2017-w33",262
"English","2017-w34",182
"English","2017-w35",186
"English","2017-w36",135
"English","2017-w37",171
"English","2017-w38",144
"English","2017-w39",153
"English","2017-w40",188
"English","2017-w41",158
"English","2017-w42",204
"English","2017-w43",103
"English","2017-w45",158
"English","2017-w46",288
"English","2017-w47",169
"English","2017-w48",159
"English","2017-w49",203
"English","2017-w50",152
"English","2017-w51",122
"English","2017-w52",295
"English","2018-w01",195
"English","2018-w02",243
"English","2018-w03",225
"English","2018-w04",286
"English","2018-w05",200
"English","2018-w06",142
"English","2018-w07",214
"English","2018-w08",178
"English","2018-w09",29
"Other","2016-w44",33
"Other","2016-w45",80
"Other","2016-w46",96
"Other","2016-w47",60
"Other","2016-w48",34
"Other","2016-w49",64
"Other","2016-w50",23
"Other","2016-w51",17
"Other","2016-w52",83
"Other","2017-w01",160
"Other","2017-w02",25
"Other","2017-w03",42
"Other","2017-w04",62
"Other","2017-w05",161
"Other","2017-w06",67
"Other","2017-w07",60
"Other","2017-w08",79
"Other","2017-w09",41
"Other","2017-w10",49
"Other","2017-w11",41
"Other","2017-w12",43
"Other","2017-w13",54
"Other","2017-w14",13
"Other","2017-w15",34
"Other","2017-w16",28
"Other","2017-w17",27
"Other","2017-w18",17
"Other","2017-w19",21
"Other","2017-w20",52
"Other","2017-w21",39
"Other","2017-w22",48
"Other","2017-w23",44
"Other","2017-w24",33
"Other","2017-w25",27
"Other","2017-w26",30
"Other","2017-w27",19
"Other","2017-w28",90
"Other","2017-w29",86
"Other","2017-w30",59
"Other","2017-w31",128
"Other","2017-w32",127
"Other","2017-w33",52
"Other","2017-w34",66
"Other","2017-w35",57
"Other","2017-w36",72
"Other","2017-w37",65
"Other","2017-w38",66
"Other","2017-w39",87
"Other","2017-w40",90
"Other","2017-w41",140
"Other","2017-w42",106
"Other","2017-w43",91
"Other","2017-w45",110
"Other","2017-w46",82
"Other","2017-w47",74
"Other","2017-w48",133
"Other","2017-w49",81
"Other","2017-w50",77
"Other","2017-w51",62
"Other","2017-w52",116
"Other","2018-w01",162
"Other","2018-w02",101
"Other","2018-w03",128
"Other","2018-w04",39
"Other","2018-w05",114
"Other","2018-w06",46
"Other","2018-w07",97
"Other","2018-w08",84
"Other","2018-w09",17
"Unknown","2016-w44",17
"Unknown","2016-w45",35
"Unknown","2016-w46",42
"Unknown","2016-w47",38
"Unknown","2016-w48",36
"Unknown","2016-w49",29
"Unknown","2016-w50",17
"Unknown","2016-w51",14
"Unknown","2016-w52",29
"Unknown","2017-w01",40
"Unknown","2017-w02",32
"Unknown","2017-w03",33
"Unknown","2017-w04",54
"Unknown","2017-w05",28
"Unknown","2017-w06",39
"Unknown","2017-w07",23
"Unknown","2017-w08",28
"Unknown","2017-w09",9
"Unknown","2017-w10",20
"Unknown","2017-w11",28
"Unknown","2017-w12",26
"Unknown","2017-w13",36
"Unknown","2017-w14",7
"Unknown","2017-w15",28
"Unknown","2017-w16",43
"Unknown","2017-w17",27
"Unknown","2017-w18",19
"Unknown","2017-w19",15
"Unknown","2017-w20",21
"Unknown","2017-w21",23
"Unknown","2017-w22",27
"Unknown","2017-w23",14
"Unknown","2017-w24",26
"Unknown","2017-w25",17
"Unknown","2017-w26",14
"Unknown","2017-w27",17
"Unknown","2017-w28",19
"Unknown","2017-w29",21
"Unknown","2017-w30",38
"Unknown","2017-w31",52
"Unknown","2017-w32",74
"Unknown","2017-w33",40
"Unknown","2017-w34",23
"Unknown","2017-w35",22
"Unknown","2017-w36",26
"Unknown","2017-w37",16
"Unknown","2017-w38",20
"Unknown","2017-w39",22
"Unknown","2017-w40",15
"Unknown","2017-w41",14
"Unknown","2017-w42",16
"Unknown","2017-w43",11
"Unknown","2017-w45",21
"Unknown","2017-w46",33
"Unknown","2017-w47",19
"Unknown","2017-w48",16
"Unknown","2017-w49",28
"Unknown","2017-w50",20
"Unknown","2017-w51",38
"Unknown","2017-w52",28
"Unknown","2018-w01",39
"Unknown","2018-w02",38
"Unknown","2018-w03",39
"Unknown","2018-w04",27
"Unknown","2018-w05",31
"Unknown","2018-w06",16
"Unknown","2018-w07",27
"Unknown","2018-w08",19
"Unknown","2018-w09",5
