"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finish","Icelandic","English","Other","Unknown","Total"
196,13.64794775,64.6183455,0,0,0,0,0,1,0,0,1
197,12.165733,66.5034405,0,0,0,0,0,0,0,0,0
198,20.24822425,69.48675325,0,0,0,2,0,0,0,0,2
199,24.5565965,70.8911325,0,0,0,0,0,0,0,0,0
200,11.8680685,63.7620011666667,0,1,8,0,0,4,0,0,13
201,5.930594,60.880009,0,0,0,0,0,0,0,2,2
202,13.072472,64.8102355,0,0,0,0,0,0,0,0,0
203,17.6043605,68.2881045,0,0,2,0,0,10,0,0,12
204,28.8300235,70.1276895,0,0,0,1,0,0,0,0,1
205,7.9495575,62.51923925,0,0,0,0,0,1,1,0,2
206,7.424698,62.251269,0,0,0,0,0,1,0,0,1
207,25.866121,70.9266075,0,0,0,0,0,0,0,0,0
208,6.61090283333333,59.7305848333333,0,3,9,0,0,13,0,0,25
209,11.915479,64.4805795,0,1,6,0,0,0,0,2,9
210,25.0311745,70.2429465,0,0,0,8,0,0,0,0,8
211,12.2054395,67.502487,0,0,0,0,0,0,0,0,0
212,10.9298395,61.694063,0,0,0,0,0,0,0,0,0
213,29.727145,69.504585,1,0,0,18,0,0,2,0,21
214,7.966991,61.9342395,0,0,0,0,0,1,0,0,1
215,15.113155,67.8596805,0,0,0,0,0,0,0,0,0
216,27.5006895,70.2834565,0,0,1,3,0,1,0,0,5
217,16.949149,69.30834,0,0,0,0,0,0,0,0,0
218,18.9258115,69.7104015,1,7,34,0,0,33,11,2,88
219,12.303966,61.3563735,0,0,0,0,0,0,0,0,0
220,16.5041435,67.9698075,0,0,0,0,0,0,0,0,0
221,8.447449,61.1926085,0,0,0,0,0,0,0,0,0
222,30.6460575,70.326849,0,0,0,0,0,0,0,0,0
223,11.732621,65.743596,0,0,0,0,0,0,0,0,0
224,13.756594,68.198278,0,0,0,0,0,1,0,0,1
225,7.7103635,59.807207,0,0,0,0,0,0,0,0,0
226,25.679592,62.3986639444444,3,0,0,114,0,25,15,8,165
227,23.90383,62.7103398636364,0,0,0,9,0,0,0,1,10
228,22.4821787931034,60.7195604655172,2,1,0,167,0,43,17,10,240
229,23.5749726176471,61.1107322647059,0,0,0,59,0,14,0,5,78
230,23.92609375,63.760357125,0,0,0,14,0,5,1,1,21
231,25.3952402962963,60.5963623333333,3,2,1,310,0,182,67,42,607
232,25.74995525,61.4562518333333,0,0,0,15,0,0,0,0,15
233,24.6176643333333,60.3876739761905,37,6,1,1294,6,646,252,95,2337
234,21.7576638333333,62.2407312,0,0,0,20,0,1,2,1,24
235,24.3487041,66.3236306,0,0,0,16,0,0,0,0,16
236,21.8581064333333,61.3607477666667,0,0,0,39,0,13,8,2,62
237,21.0149065,60.5448659285714,0,0,0,9,0,0,0,0,9
238,24.985508125,64.674876375,0,0,0,17,0,1,0,1,19
239,19.9940188636364,60.1989781818182,18,0,0,1,0,3,0,0,22
240,27.0890691666667,69.2489131666667,0,0,0,67,0,3,0,1,71
241,29.0975801111111,62.2210886111111,0,0,0,34,0,2,2,0,38
242,22.7871955,68.7140905,0,0,0,23,0,0,0,0,23
243,23.2075131666667,63.3198613888889,1,0,0,21,0,0,1,0,23
244,27.40350905,60.8262503,0,0,0,32,0,14,3,3,52
245,22.906551,61.7930490454545,0,0,0,17,0,2,0,2,21
246,24.4838155714286,61.4183455,0,0,0,53,0,5,5,6,69
247,24.9450123125,63.77387375,0,0,0,14,0,47,1,0,62
248,24.80498,62.9210649166667,0,0,0,14,0,0,0,0,14
249,23.2110149,59.9841673,4,0,1,26,0,28,5,7,71
250,26.5639444166667,62.5992523333333,0,0,0,13,0,0,0,0,13
251,26.57292675,61.378088375,0,0,0,10,0,0,0,0,10
252,26.1908735,61.825537,0,0,0,1,0,0,0,0,1
253,25.6698568,65.0615571,0,0,0,103,0,16,17,3,139
254,27.47228725,61.67380625,0,0,0,52,0,6,3,1,62
255,22.3652365,61.8488805,0,0,0,1,0,0,0,0,1
256,28.540826,64.3925386666667,0,0,0,25,0,1,1,1,28
257,27.6247205625,63.3066689375,0,0,0,57,0,9,6,1,73
258,22.3736962333333,63.0274878,1,0,0,27,0,1,1,1,31
259,30.973905,62.7902115,0,0,0,6,0,0,0,0,6
260,28.9445663333333,61.30714,0,0,0,16,0,3,5,1,25
261,23.9365490833333,60.2478908333333,0,0,0,10,0,4,1,0,15
262,25.110007,61.7697805,0,0,0,10,0,0,0,0,10
263,22.6568345,63.74610725,1,0,0,3,0,0,0,0,4
264,30.0640803333333,62.7601628333333,0,0,0,33,0,26,5,3,67
265,28.066699875,62.253877875,0,0,0,12,0,0,0,0,12
266,28.4906765,63.0792555,0,0,0,3,0,0,0,0,3
267,29.239657,63.2391993333333,0,0,0,28,0,2,1,3,34
268,24.3827615,62.155138125,0,0,0,10,0,0,0,0,10
269,23.7356986666667,61.7015198333333,2,1,1,168,1,83,23,23,302
270,25.7792861666667,63.685207,0,0,0,7,0,2,0,0,9
271,20.974279,59.8999925,0,0,0,1,0,0,0,0,1
272,27.650863,64.3893035,0,0,0,24,0,5,0,0,29
273,27.1779376666667,62.5906931666667,0,0,0,9,0,0,0,0,9
274,21.31798925,62.9482220625,7,0,0,39,2,15,3,4,70
275,26.5115505,63.3984755,0,0,0,5,0,0,0,0,5
276,24.64024425,65.745086,0,0,0,7,0,0,3,1,11
277,22.454542,59.9824385,0,0,0,3,0,0,0,0,3
278,27.38374175,66.910907,0,0,0,19,0,0,1,0,20
279,29.8004771,61.9685923,0,0,0,8,0,0,0,0,8
280,25.050163,67.773235,0,0,0,29,0,3,1,0,33
281,24.205622,67.2883735,0,0,0,6,0,0,0,0,6
282,23.107958,60.6728235,0,0,0,1,0,0,0,0,1
283,29.6526805,64.1693755,0,1,0,25,0,0,0,0,26
284,29.253115,65.9869665,0,0,0,17,0,1,0,0,18
285,26.3264546363636,60.4559492272727,0,0,0,4,0,0,0,0,4
286,28.1609321,61.0977636,0,0,0,49,0,20,13,1,83
287,30.3540125,63.378857,0,0,0,14,0,0,0,0,14
288,21.7647645,60.4240461666667,1,0,0,15,0,3,1,0,20
289,24.43124775,64.3521645,0,0,0,1,0,0,0,0,1
290,26.10100225,64.52114025,0,0,0,7,0,0,0,0,7
291,23.792408,67.8167555,0,0,0,6,0,0,0,0,6
292,28.0015955,66.1465275,0,0,0,8,0,0,0,0,8
293,27.1588065,65.523535,0,0,0,18,0,0,0,0,18
294,26.731248,63.9332935,0,0,0,6,0,0,0,0,6
295,21.41791,60.9901785,0,0,0,2,0,0,0,0,2
296,26.5882145,66.0014765,0,0,0,3,0,0,0,0,3
297,26.0311075,66.669948,0,0,0,65,0,13,8,5,91
298,28.949175,67.1056285,0,0,0,11,0,0,0,0,11
299,28.440533,67.6489615,0,0,0,20,0,0,0,0,20
300,25.2419285,65.942678,0,0,0,7,0,5,0,0,12
301,27.014109,67.7046295,0,0,0,46,0,1,1,0,48
302,28.522907,61.7362745,0,0,0,0,0,0,0,0,0
303,29.065463,65.0436585,0,0,0,13,0,0,0,0,13
304,28.465884,65.5483855,0,0,0,8,0,0,1,0,9
305,30.3693335,62.238447,0,0,0,0,0,1,0,0,1
306,26.808741,64.6912375,0,0,0,17,0,0,0,0,17
307,28.7819915,63.720269,0,0,0,1,0,0,0,0,1
308,25.8218805,63.07912,0,0,0,6,0,0,0,0,6
